Dataset Name,Algorithm Name,Cross Validation [1 - 10],Hyper-Parameters Values,Accuracy,TPR,FPR, Precision,AUC,PR-Curve,Training Time,Inference Time
abalon, BROOF, 10, n_trees: 15 | M: 15 | , 0.66, 0.66, 0.17, 0.66, 0.83, 1.00, 21.53, 0.07
abalon, XGBoost, 10, n_trees: 15 | M: 15 | , 0.68, 0.67, 0.16, 0.68, 0.84, 1.00, 10.38, 0.00
acute-inflammation, BROOF, 1, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.46, 0.85
acute-inflammation, XGBoost, 1, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.45, 0.00
acute-inflammation, BROOF, 2, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.27, 0.17
acute-inflammation, XGBoost, 2, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.43, 0.00
acute-inflammation, BROOF, 3, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.86, 0.00
acute-inflammation, XGBoost, 3, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.45, 0.00
acute-inflammation, BROOF, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.31, 0.17
acute-inflammation, XGBoost, 4, n_trees: 5 | M: 2 | , 0.67, 1.00, 0.67, 0.60, 0.67, 0.60, 0.41, 0.00
acute-inflammation, BROOF, 5, n_trees: 15 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.47, 0.17
acute-inflammation, XGBoost, 5, n_trees: 15 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 1.30
acute-inflammation, BROOF, 6, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.96, 0.00
acute-inflammation, XGBoost, 6, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
acute-inflammation, BROOF, 7, n_trees: 15 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.10, 0.00
acute-inflammation, XGBoost, 7, n_trees: 15 | M: 2 | , 0.83, 0.67, 0.00, 1.00, 0.83, 0.83, 0.42, 0.00
acute-inflammation, BROOF, 8, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.79, 0.19
acute-inflammation, XGBoost, 8, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.43, 1.30
acute-inflammation, BROOF, 9, n_trees: 5 | M: 10 | , 0.83, 1.00, 0.33, 0.75, 0.83, 0.75, 5.55, 0.00
acute-inflammation, XGBoost, 9, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.43, 0.00
acute-inflammation, BROOF, 10, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.22, 0.88
acute-inflammation, XGBoost, 10, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 0.00
acute-nephritis, BROOF, 1, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.78, 0.18
acute-nephritis, XGBoost, 1, n_trees: 10 | M: 5 | , 0.67, 0.20, 0.00, 1.00, 0.60, 0.53, 0.39, 0.00
acute-nephritis, BROOF, 2, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.17, 0.00
acute-nephritis, XGBoost, 2, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.39, 0.00
acute-nephritis, BROOF, 3, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.52, 0.18
acute-nephritis, XGBoost, 3, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.39, 0.00
acute-nephritis, BROOF, 4, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.37, 0.00
acute-nephritis, XGBoost, 4, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.08
acute-nephritis, BROOF, 5, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.77, 0.00
acute-nephritis, XGBoost, 5, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.39, 0.00
acute-nephritis, BROOF, 6, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.91, 0.17
acute-nephritis, XGBoost, 6, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.39, 0.00
acute-nephritis, BROOF, 7, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.28, 0.85
acute-nephritis, XGBoost, 7, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.38, 0.00
acute-nephritis, BROOF, 8, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.22, 1.10
acute-nephritis, XGBoost, 8, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.38, 1.30
acute-nephritis, BROOF, 9, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.62, 0.87
acute-nephritis, XGBoost, 9, n_trees: 15 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
acute-nephritis, BROOF, 10, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.36, 0.88
acute-nephritis, XGBoost, 10, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
analcatdata_asbestos, BROOF, 1, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.33, 0.00
analcatdata_asbestos, XGBoost, 1, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.46, 0.00
analcatdata_asbestos, BROOF, 2, n_trees: 20 | M: 10 | , 0.78, 0.75, 0.20, 0.75, 0.78, 0.67, 5.70, 1.16
analcatdata_asbestos, XGBoost, 2, n_trees: 20 | M: 10 | , 0.78, 0.75, 0.20, 0.75, 0.78, 0.67, 0.45, 0.00
analcatdata_asbestos, BROOF, 3, n_trees: 5 | M: 5 | , 0.78, 0.75, 0.20, 0.75, 0.78, 0.67, 5.80, 0.90
analcatdata_asbestos, XGBoost, 3, n_trees: 5 | M: 5 | , 0.78, 0.75, 0.20, 0.75, 0.78, 0.67, 0.47, 0.00
analcatdata_asbestos, BROOF, 4, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.84, 2.55
analcatdata_asbestos, XGBoost, 4, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.47, 0.00
analcatdata_asbestos, BROOF, 5, n_trees: 15 | M: 15 | , 0.75, 0.75, 0.25, 0.75, 0.75, 0.69, 5.76, 2.56
analcatdata_asbestos, XGBoost, 5, n_trees: 15 | M: 15 | , 0.62, 0.50, 0.25, 0.67, 0.62, 0.58, 0.47, 0.00
analcatdata_asbestos, BROOF, 6, n_trees: 15 | M: 15 | , 0.75, 0.75, 0.25, 0.75, 0.75, 0.69, 6.91, 1.95
analcatdata_asbestos, XGBoost, 6, n_trees: 15 | M: 15 | , 0.75, 0.75, 0.25, 0.75, 0.75, 0.69, 0.47, 0.00
analcatdata_asbestos, BROOF, 7, n_trees: 15 | M: 10 | , 0.38, 0.00, 0.25, 0.00, 0.38, 0.50, 5.70, 1.29
analcatdata_asbestos, XGBoost, 7, n_trees: 15 | M: 10 | , 0.62, 0.25, 0.00, 1.00, 0.62, 0.62, 0.47, 0.00
analcatdata_asbestos, BROOF, 8, n_trees: 5 | M: 5 | , 0.88, 0.67, 0.00, 1.00, 0.83, 0.79, 6.44, 0.00
analcatdata_asbestos, XGBoost, 8, n_trees: 5 | M: 5 | , 0.88, 0.67, 0.00, 1.00, 0.83, 0.79, 0.47, 0.00
analcatdata_asbestos, BROOF, 9, n_trees: 15 | M: 5 | , 0.75, 1.00, 0.40, 0.60, 0.80, 0.60, 5.83, 1.31
analcatdata_asbestos, XGBoost, 9, n_trees: 15 | M: 5 | , 0.75, 1.00, 0.40, 0.60, 0.80, 0.60, 0.45, 0.00
analcatdata_asbestos, BROOF, 10, n_trees: 5 | M: 10 | , 0.62, 0.67, 0.40, 0.50, 0.63, 0.46, 5.04, 1.32
analcatdata_asbestos, XGBoost, 10, n_trees: 5 | M: 10 | , 0.75, 0.67, 0.20, 0.67, 0.73, 0.57, 0.44, 0.00
analcatdata_boxing1, BROOF, 1, n_trees: 5 | M: 2 | , 0.50, 0.25, 0.00, 1.00, 0.62, 0.75, 4.80, 0.00
analcatdata_boxing1, XGBoost, 1, n_trees: 5 | M: 2 | , 0.67, 0.75, 0.50, 0.75, 0.62, 0.73, 0.52, 0.00
analcatdata_boxing1, BROOF, 2, n_trees: 5 | M: 10 | , 0.25, 0.12, 0.50, 0.33, 0.31, 0.62, 5.53, 0.85
analcatdata_boxing1, XGBoost, 2, n_trees: 5 | M: 10 | , 0.58, 0.38, 0.00, 1.00, 0.69, 0.79, 0.53, 0.00
analcatdata_boxing1, BROOF, 3, n_trees: 5 | M: 10 | , 0.33, 0.25, 0.50, 0.50, 0.38, 0.62, 4.70, 0.84
analcatdata_boxing1, XGBoost, 3, n_trees: 5 | M: 10 | , 0.83, 1.00, 0.50, 0.80, 0.75, 0.80, 0.53, 0.00
analcatdata_boxing1, BROOF, 4, n_trees: 20 | M: 15 | , 0.42, 0.50, 0.75, 0.57, 0.38, 0.62, 5.48, 1.70
analcatdata_boxing1, XGBoost, 4, n_trees: 20 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.54, 0.00
analcatdata_boxing1, BROOF, 5, n_trees: 15 | M: 10 | , 0.58, 0.62, 0.50, 0.71, 0.56, 0.70, 5.73, 0.84
analcatdata_boxing1, XGBoost, 5, n_trees: 15 | M: 10 | , 0.92, 1.00, 0.25, 0.89, 0.88, 0.89, 0.54, 1.30
analcatdata_boxing1, BROOF, 6, n_trees: 20 | M: 5 | , 0.25, 0.38, 1.00, 0.43, 0.19, 0.58, 5.00, 0.18
analcatdata_boxing1, XGBoost, 6, n_trees: 20 | M: 5 | , 0.83, 1.00, 0.50, 0.80, 0.75, 0.80, 0.54, 0.00
analcatdata_boxing1, BROOF, 7, n_trees: 5 | M: 10 | , 0.33, 0.38, 0.75, 0.50, 0.31, 0.60, 6.37, 0.00
analcatdata_boxing1, XGBoost, 7, n_trees: 5 | M: 10 | , 0.92, 0.88, 0.00, 1.00, 0.94, 0.96, 0.54, 0.00
analcatdata_boxing1, BROOF, 8, n_trees: 10 | M: 15 | , 0.58, 0.88, 1.00, 0.64, 0.44, 0.64, 6.16, 0.85
analcatdata_boxing1, XGBoost, 8, n_trees: 10 | M: 15 | , 0.67, 0.88, 0.75, 0.70, 0.56, 0.70, 0.53, 0.00
analcatdata_boxing1, BROOF, 9, n_trees: 20 | M: 2 | , 0.58, 1.00, 1.00, 0.58, 0.50, 0.58, 4.88, 0.00
analcatdata_boxing1, XGBoost, 9, n_trees: 20 | M: 2 | , 0.67, 0.71, 0.40, 0.71, 0.66, 0.68, 0.53, 0.00
analcatdata_boxing1, BROOF, 10, n_trees: 15 | M: 2 | , 0.50, 0.14, 0.00, 1.00, 0.57, 0.64, 5.99, 0.18
analcatdata_boxing1, XGBoost, 10, n_trees: 15 | M: 2 | , 0.75, 1.00, 0.60, 0.70, 0.70, 0.70, 0.53, 0.00
analcatdata_broadwaymult, BROOF, 1, n_trees: 20 | M: 5 | , 0.48, 0.33, 0.10, 0.48, 0.68, 1.00, 7.29, 0.07
analcatdata_broadwaymult, XGBoost, 1, n_trees: 20 | M: 5 | , 0.48, 0.35, 0.09, 0.46, 0.63, 1.00, 6.31, 0.00
analcatdata_broadwaymult, BROOF, 2, n_trees: 15 | M: 10 | , 0.41, 0.25, 0.11, 0.33, 0.63, 1.00, 7.36, 0.55
analcatdata_broadwaymult, XGBoost, 2, n_trees: 15 | M: 10 | , 0.28, 0.16, 0.12, 0.16, 0.55, 1.00, 6.41, 0.00
analcatdata_broadwaymult, BROOF, 3, n_trees: 5 | M: 10 | , 0.59, 0.39, 0.09, 0.79, 0.73, 1.00, 6.61, 0.07
analcatdata_broadwaymult, XGBoost, 3, n_trees: 5 | M: 10 | , 0.55, 0.38, 0.08, 0.44, 0.76, 1.00, 7.28, 0.00
analcatdata_broadwaymult, BROOF, 4, n_trees: 15 | M: 15 | , 0.52, 0.29, 0.09, 0.75, 0.87, 1.00, 7.67, 0.70
analcatdata_broadwaymult, XGBoost, 4, n_trees: 15 | M: 15 | , 0.48, 0.27, 0.10, 0.49, 0.74, 1.00, 6.88, 0.00
analcatdata_broadwaymult, BROOF, 5, n_trees: 15 | M: 10 | , 0.59, 0.44, 0.09, 0.53, 0.78, 1.00, 6.48, 0.36
analcatdata_broadwaymult, XGBoost, 5, n_trees: 15 | M: 10 | , 0.52, 0.42, 0.08, 0.43, 0.82, 1.00, 7.19, 0.00
analcatdata_broadwaymult, BROOF, 6, n_trees: 15 | M: 15 | , 0.57, 0.37, 0.08, 0.46, 0.80, 1.00, 6.10, 0.73
analcatdata_broadwaymult, XGBoost, 6, n_trees: 15 | M: 15 | , 0.50, 0.35, 0.09, 0.37, 0.77, 1.00, 7.16, 0.07
analcatdata_broadwaymult, BROOF, 7, n_trees: 15 | M: 5 | , 0.46, 0.32, 0.10, 0.42, 0.75, 1.00, 6.75, 0.37
analcatdata_broadwaymult, XGBoost, 7, n_trees: 15 | M: 5 | , 0.39, 0.30, 0.12, 0.27, 0.70, 1.00, 7.12, 0.29
analcatdata_broadwaymult, BROOF, 8, n_trees: 15 | M: 2 | , 0.68, 0.49, 0.07, 0.76, 0.76, 1.00, 6.29, 0.36
analcatdata_broadwaymult, XGBoost, 8, n_trees: 15 | M: 2 | , 0.61, 0.43, 0.08, 0.53, 0.82, 1.00, 7.15, 0.00
analcatdata_broadwaymult, BROOF, 9, n_trees: 10 | M: 15 | , 0.57, 0.32, 0.08, 0.26, 0.76, 1.00, 7.16, 0.43
analcatdata_broadwaymult, XGBoost, 9, n_trees: 10 | M: 15 | , 0.46, 0.30, 0.10, 0.24, 0.74, 1.00, 6.99, 0.29
analcatdata_broadwaymult, BROOF, 10, n_trees: 15 | M: 2 | , 0.50, 0.32, 0.10, 0.42, 0.72, 1.00, 6.72, 0.08
analcatdata_broadwaymult, XGBoost, 10, n_trees: 15 | M: 2 | , 0.36, 0.14, 0.11, 0.28, 0.71, 1.00, 7.26, 0.29
analcatdata_germangss, BROOF, 1, n_trees: 15 | M: 10 | , 0.28, 0.11, 0.01, 0.18, Nan, 1.00, 8.36, 0.26
analcatdata_germangss, XGBoost, 1, n_trees: 15 | M: 10 | , 0.20, 0.03, 0.01, 0.20, Nan, 1.00, 16.22, 0.25
analcatdata_germangss, BROOF, 2, n_trees: 5 | M: 10 | , 0.17, 0.13, 0.01, 0.15, Nan, 1.00, 8.15, 0.13
analcatdata_germangss, XGBoost, 2, n_trees: 5 | M: 10 | , 0.17, 0.04, 0.01, 0.17, Nan, 1.00, 16.05, 0.20
analcatdata_germangss, BROOF, 3, n_trees: 15 | M: 5 | , 0.23, 0.18, 0.01, 0.20, Nan, 1.00, 8.76, 0.25
analcatdata_germangss, XGBoost, 3, n_trees: 15 | M: 5 | , 0.23, 0.02, 0.01, 0.20, Nan, 1.00, 16.37, 0.25
analcatdata_germangss, BROOF, 4, n_trees: 5 | M: 5 | , 0.23, 0.12, 0.01, 0.18, Nan, 1.00, 7.02, 0.21
analcatdata_germangss, XGBoost, 4, n_trees: 5 | M: 5 | , 0.23, 0.04, 0.01, 0.19, Nan, 1.00, 15.82, 0.25
analcatdata_germangss, BROOF, 5, n_trees: 20 | M: 2 | , 0.28, 0.16, 0.01, 0.22, Nan, 1.00, 8.17, 0.05
analcatdata_germangss, XGBoost, 5, n_trees: 20 | M: 2 | , 0.25, 0.03, 0.01, 0.20, Nan, 1.00, 15.63, 0.25
analcatdata_germangss, BROOF, 6, n_trees: 20 | M: 5 | , 0.17, 0.11, 0.01, 0.18, Nan, 1.00, 6.34, 0.26
analcatdata_germangss, XGBoost, 6, n_trees: 20 | M: 5 | , 0.20, 0.03, 0.01, 0.20, Nan, 1.00, 16.00, 0.25
analcatdata_germangss, BROOF, 7, n_trees: 10 | M: 2 | , 0.25, 0.08, 0.01, 0.12, Nan, 1.00, 7.41, 0.00
analcatdata_germangss, XGBoost, 7, n_trees: 10 | M: 2 | , 0.20, 0.02, 0.01, 0.19, Nan, 1.00, 15.63, 0.18
analcatdata_germangss, BROOF, 8, n_trees: 20 | M: 15 | , 0.15, 0.11, 0.01, 0.14, Nan, 1.00, 8.65, 0.56
analcatdata_germangss, XGBoost, 8, n_trees: 20 | M: 15 | , 0.28, 0.03, 0.01, 0.18, Nan, 1.00, 15.78, 0.25
analcatdata_germangss, BROOF, 9, n_trees: 15 | M: 10 | , 0.23, 0.12, 0.01, 0.16, Nan, 1.00, 6.48, 0.26
analcatdata_germangss, XGBoost, 9, n_trees: 15 | M: 10 | , 0.28, 0.02, 0.01, 0.19, Nan, 1.00, 15.98, 0.25
analcatdata_germangss, BROOF, 10, n_trees: 5 | M: 5 | , 0.30, 0.12, 0.01, 0.21, Nan, 1.00, 8.22, 0.26
analcatdata_germangss, XGBoost, 10, n_trees: 5 | M: 5 | , 0.30, 0.03, 0.01, 0.22, Nan, 1.00, 15.73, 0.20
analcatdata_lawsuit, BROOF, 1, n_trees: 15 | M: 5 | , 0.89, 1.00, 0.12, 0.40, 0.94, 0.40, 6.51, 0.30
analcatdata_lawsuit, XGBoost, 1, n_trees: 15 | M: 5 | , 0.93, 1.00, 0.08, 0.50, 0.96, 0.50, 0.42, 0.00
analcatdata_lawsuit, BROOF, 2, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.45, 0.68
analcatdata_lawsuit, XGBoost, 2, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
analcatdata_lawsuit, BROOF, 3, n_trees: 10 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.81, 0.38
analcatdata_lawsuit, XGBoost, 3, n_trees: 10 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.43, 0.00
analcatdata_lawsuit, BROOF, 4, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.42, 0.38
analcatdata_lawsuit, XGBoost, 4, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.43, 0.00
analcatdata_lawsuit, BROOF, 5, n_trees: 10 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.31, 0.39
analcatdata_lawsuit, XGBoost, 5, n_trees: 10 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
analcatdata_lawsuit, BROOF, 6, n_trees: 5 | M: 2 | , 0.96, 0.50, 0.00, 1.00, 0.75, 0.54, 5.83, 0.08
analcatdata_lawsuit, XGBoost, 6, n_trees: 5 | M: 2 | , 0.96, 0.50, 0.00, 1.00, 0.75, 0.54, 0.41, 0.00
analcatdata_lawsuit, BROOF, 7, n_trees: 20 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.45, 0.79
analcatdata_lawsuit, XGBoost, 7, n_trees: 20 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
analcatdata_lawsuit, BROOF, 8, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.98, 0.39
analcatdata_lawsuit, XGBoost, 8, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 0.00
analcatdata_lawsuit, BROOF, 9, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.34, 0.00
analcatdata_lawsuit, XGBoost, 9, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
analcatdata_lawsuit, BROOF, 10, n_trees: 5 | M: 10 | , 0.96, 0.00, 0.00, 1.00, 0.50, 0.04, 5.36, 0.40
analcatdata_lawsuit, XGBoost, 10, n_trees: 5 | M: 10 | , 0.96, 0.00, 0.00, 1.00, 0.50, 0.04, 0.41, 0.00
annealing, BROOF, 1, n_trees: 10 | M: 15 | , 0.94, 0.74, 0.03, 0.95, 0.99, 1.00, 8.65, 0.11
annealing, XGBoost, 1, n_trees: 10 | M: 15 | , 0.94, 0.74, 0.03, 0.95, 0.89, 1.00, 3.32, 0.00
annealing, BROOF, 2, n_trees: 15 | M: 10 | , 0.93, 0.90, 0.04, 0.94, 0.99, 1.00, 8.16, 0.11
annealing, XGBoost, 2, n_trees: 15 | M: 10 | , 0.94, 0.92, 0.03, 0.84, 0.99, 1.00, 3.30, 0.00
annealing, BROOF, 3, n_trees: 15 | M: 5 | , 1.00, 0.80, 0.00, 0.80, Nan, 1.00, 8.53, 0.00
annealing, XGBoost, 3, n_trees: 15 | M: 5 | , 1.00, 0.80, 0.00, 0.80, Nan, 1.00, 3.38, 0.09
annealing, BROOF, 4, n_trees: 10 | M: 2 | , 0.96, 0.74, 0.03, 0.77, Nan, 1.00, 7.44, 0.00
annealing, XGBoost, 4, n_trees: 10 | M: 2 | , 0.97, 0.76, 0.02, 0.77, Nan, 1.00, 3.39, 0.00
annealing, BROOF, 5, n_trees: 20 | M: 15 | , 0.98, 0.98, 0.01, 0.98, 1.00, 1.00, 9.73, 0.36
annealing, XGBoost, 5, n_trees: 20 | M: 15 | , 0.97, 0.96, 0.02, 0.97, 1.00, 1.00, 3.38, 0.02
annealing, BROOF, 6, n_trees: 20 | M: 15 | , 0.99, 1.00, 0.00, 0.98, 1.00, 1.00, 7.81, 0.25
annealing, XGBoost, 6, n_trees: 20 | M: 15 | , 0.99, 1.00, 0.00, 0.98, 1.00, 1.00, 3.38, 0.00
annealing, BROOF, 7, n_trees: 5 | M: 15 | , 0.96, 0.94, 0.03, 0.97, 1.00, 1.00, 9.12, 0.11
annealing, XGBoost, 7, n_trees: 5 | M: 15 | , 0.99, 1.00, 0.00, 0.98, 1.00, 1.00, 3.40, 0.02
annealing, BROOF, 8, n_trees: 20 | M: 5 | , 0.98, 0.96, 0.02, 0.99, 1.00, 1.00, 7.28, 0.02
annealing, XGBoost, 8, n_trees: 20 | M: 5 | , 0.99, 0.98, 0.01, 1.00, 1.00, 1.00, 3.47, 0.02
annealing, BROOF, 9, n_trees: 20 | M: 5 | , 0.94, 0.89, 0.03, 0.95, 1.00, 1.00, 6.09, 0.02
annealing, XGBoost, 9, n_trees: 20 | M: 5 | , 0.92, 0.88, 0.05, 0.93, 0.99, 1.00, 3.41, 0.00
annealing, BROOF, 10, n_trees: 15 | M: 2 | , 0.81, 0.38, 0.15, 0.76, 0.88, 1.00, 7.98, 0.09
annealing, XGBoost, 10, n_trees: 15 | M: 2 | , 0.73, 0.44, 0.15, 0.66, 0.81, 1.00, 3.37, 0.09
ar4, BROOF, 1, n_trees: 10 | M: 2 | , 0.82, 0.00, 0.00, 1.00, 0.50, 0.18, 5.95, 0.19
ar4, XGBoost, 1, n_trees: 10 | M: 2 | , 0.91, 0.50, 0.00, 1.00, 0.75, 0.59, 0.52, 0.00
ar4, BROOF, 2, n_trees: 10 | M: 5 | , 0.64, 0.00, 0.22, 0.00, 0.39, 0.18, 5.86, 0.00
ar4, XGBoost, 2, n_trees: 10 | M: 5 | , 0.64, 0.00, 0.22, 0.00, 0.39, 0.18, 0.49, 0.00
ar4, BROOF, 3, n_trees: 5 | M: 10 | , 0.82, 0.50, 0.11, 0.50, 0.69, 0.34, 5.44, 0.00
ar4, XGBoost, 3, n_trees: 5 | M: 10 | , 0.91, 1.00, 0.11, 0.67, 0.94, 0.67, 0.51, 0.00
ar4, BROOF, 4, n_trees: 10 | M: 5 | , 0.82, 0.00, 0.00, 1.00, 0.50, 0.18, 6.35, 0.93
ar4, XGBoost, 4, n_trees: 10 | M: 5 | , 0.73, 0.00, 0.11, 0.00, 0.44, 0.18, 0.49, 0.00
ar4, BROOF, 5, n_trees: 10 | M: 5 | , 0.91, 1.00, 0.11, 0.67, 0.94, 0.67, 5.45, 0.00
